ARDEL	ARCO	ARCUSN	ARNAME	ARADR1	ARADR2	ARADR3	ARADR4	ARZIP5	ARZIP9	ARZP14	ARTOTD	ARCURD	AR0110	AR1120	AR2130	AROV30	ARPYMT	ARPDAT	ARPREP	ARMTDS	ARYTDS	ARSTMT	ARFINA	ARPBAL	ARFINC	ARMCPD	ARYCPD	ARCLMT	ARAREA	ARTELE	ARSLSN	ARTERM	ARSTAX	ARLSTN	ARGRUP	ARMILS	ARHIBL	ARHIDT	ARINTR	ARSTAT	AREFT	ARGCO	ARGCUS	ARPDA8	ARHID8	ARCUCL	AREDI	ARCLPB	ARWIRE	ARFEIN	ARPMCL	ARPRMV	ARF001
A	10	113	AR TRUCKING, INC.             	2072 PENNSYLVANIA AVE. WEST   	WARREN, PA  16365             	                              	                              	16365	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	391.99	120424	0.00	0.00	925.48	Y	0.00	511.92	N	511.92	1059.72	25000	814	7238450	18	1	    	AR TRUCKI 	CD	0	547.80	241002	0	PA	N	10	113	20241204	20241002	F	 	 	 	202432928	   	 	                                         
A	10	114	ABRASIVES AND TOOL SUPPLY     	P.O.BOX 14512                 	FORT WORTH, TX  76117         	                              	                              	76117	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	2506.24	12017	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	866	5900555	47	3	    	ABRAS     	CD	0	0.00	0	0	TX	N	10	114	20170120	0	I	 	 	 	0	   	 	                                         
A	10	115	ACKERMAN OIL                  	PO BOX 806                    	JASPER, IN  47547             	                              	                              	47547	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	812	4826666	14	3	    	ACKER     	D 	0	0.00	0	0	IN	N	10	115	20000000	0	U	 	 	 	0	   	 	                                         
A	10	117	ACCENT FUELS, INC.            	P.O. BOX 49                   	HOMER CITY, PA  15748         	                              	                              	15748	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	10901.27	21224	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	50000	724	4799210	18	1	    	ACCENT FUE	CD	0	0.00	0	0	PA	Y	10	117	20240212	0	F	 	 	 	251312657	   	 	                                         
A	10	118	ACCURATE ENERGY LLC           	P.O. BOX 293                  	LEWES, DE  19958              	                              	                              	19958	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	9222.82	122021	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	500000	610	7451653	18	10	    	ACCURATE  	CD	0	0.00	0	0	DE	Y	10	118	20211220	0	F	 	 	 	0	   	 	                                         
A	10	119	ACME REFINING                 	3591 WEST 56TH STREET         	CLEVELAND, OH  44102          	                              	                              	44102	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	902.72	100215	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	5000	216	9616900	5	3	    	ACME      	CD	0	0.00	0	0	OH	N	10	119	20151002	0	I	 	 	 	0	   	 	                                         
A	10	120	HENKEL CORPORATION            	P.O. BOX 27950                	SCOTTSDALE, AZ  85255         	                              	                              	85255	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	27198.54	40611	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	810	4552025	29	9	    	HENKEL    	CD	0	0.00	0	0	MI	N	10	120	20110406	0	I	 	 	 	0	   	 	                                         
A	10	122	ACUMEN INTERNATIONAL, INC.    	P.O. BOX 41303                	HOUSTON, TX  77421-1303       	                              	                              	77421	1303	00000	0.00	0.00	0.00	0.00	0.00	0.00	-2392.00	43018	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	713	8960050	47	9	    	ACUMEN INT	CD	0	0.00	0	0	TX	N	10	122	20180430	0	I	 	 	 	0	   	 	                                         
A	10	124	LARRY L. ADAIR                	LUBRICATING OILS & GREASES    	509 GUN CLUB ROAD             	YORK, PA  17406-8630          	                              	17406	8630	00000	0.00	0.00	0.00	0.00	0.00	0.00	1021.75	50605	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	717	2469741	34	3	    	ADAIR     	  	0	0.00	0	0	PA	N	10	124	20050506	0	B	 	 	 	0	   	 	                                         
A	10	125	LARRY L. ADAIR                	LUBRICATING OILS & GREASES    	509 GUN CLUB ROAD             	YORK, PA  17406-8630          	                              	17406	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	3873.87	33006	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	717	2469741	34	3	    	ADAIR     	  	0	0.00	0	0	PA	N	10	125	20060330	0	B	 	 	 	0	   	 	                                         
A	10	126	ADAMUCCI HEATING & COOLING,LLC	P.O. BOX 329                  	HAMMONTON, NJ  08037          	                              	                              	08037	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	7300.78	111306	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	609	5610594	34	12	    	ADAMUCCI  	D 	0	0.00	0	0	NJ	Y	10	126	20061113	0	G	 	 	 	0	   	 	                                         
A	10	127	ADVANCED DUST CONTROL         	P.O. BOX 917                  	EAST LANSING, MI  48826       	                              	                              	48826	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	517	3723022	6	12	    	ADVANCED  	  	0	0.00	0	0	MI	N	10	127	20000000	0	I	 	 	 	0	   	 	                                         
A	10	128	ADVANCED CHEMICAL SOLUTIONS   	1114 NORTH COURT STREET, #196 	MEDINA, OH  44256             	                              	                              	44256	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	30105.97	110724	0.00	0.00	30105.97	Y	0.00	0.00	N	0.00	63018.80	25000	330	2890591	57	3	    	ADVANCED  	CD	0	63018.80	241008	0	OH	N	10	128	20241107	20241008	I	 	 	 	0	   	 	                                         
A	10	129	ADVANCED MOTORSPORTS          	8734 CONCORD ROAD             	SEAFORD, DE  19973            	                              	                              	19973	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	5448.00	11515	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	302	6293301	34	3	    	ADV       	BD	0	0.00	0	0	DE	N	10	129	20150115	0	B	 	 	 	0	   	 	                                         
A	10	130	NOVELIS ALR INTERNATIONAL INC 	2 MOORE AVENUE                	BUCKHANNON, WV  26201-2366    	                              	(FORMALLY ALERIS INTERNATION) 	26201	2366	00000	0.00	0.00	0.00	0.00	0.00	0.00	29561.13	71822	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	85000	304	4723100	27	3	    	NOVELIS   	  	0	0.00	0	0	WV	N	10	130	20220718	0	I	 	 	 	0	   	 	                                         
A	10	132	ADVANTAGE DISTRIBUTING LLC    	3434 MARION ROAD              	ROCHESTER, MN  55904          	                              	                              	55904	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	36928.32	50814	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	25000	507	2895555	14	14	    	ADVANTAGE 	D 	0	0.00	0	0	MN	Y	10	132	20140508	0	U	 	 	N	0	   	 	                                         
A	10	135	AEP FUEL SUPPLY               	RIVER TRANSPORTATION DIVISION 	644 RIVERVIEW RD              	LAKIN, WV  25287              	                              	25287	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	748.00	22601	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	999	9999999	16	3	    	AEP FUEL S	RR	0	0.00	0	0	WV	N	10	135	20010226	0	R	 	 	 	0	   	 	                                         
A	10	140	AEROSOL SYSTEMS               	9150 VALLEY VIEW ROAD         	MACEDONIA, OH  44056          	                              	                              	44056	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	4415.40	22498	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	216	4681380	27	9	    	AEROSOL   	CD	0	0.00	0	0	OH	N	10	140	19980224	0	I	 	 	 	0	   	 	                                         
A	10	150	ALBINA FUEL COMPANY           	3246 NE BROADWAY              	PORTLAND, OR  97232           	                              	                              	97232	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	27555.12	61302	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	503	2811161	9	12	    	ALBINA    	CD	0	0.00	0	0	OR	N	10	150	20020613	0	I	 	 	 	0	   	 	                                         
A	10	160	ALCAN ROLLED PRODUCTS CO.     	P.O. BOX 8008                 	ATTN:  ACCTS PAYABLE CLERK    	TERRE HAUTE, IN 47808-8008    	                              	47808	8008	00000	0.00	0.00	0.00	0.00	0.00	0.00	166.65	122204	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	304	3675287	37	14	    	ALCAN ROLL	  	0	0.00	0	0	IN	N	10	160	20041222	0	I	 	 	 	0	   	 	                                         
A	10	161	ALCAN ROLLED PRODUCTS, INC.   	P.O. BOX 28                   	OSWEGO,NY 13126               	                              	                              	13126	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	3942.00	111897	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	315	3490121	5	14	    	ALCAN ROLL	CD	0	0.00	0	0	NY	N	10	160	19971118	0	I	 	 	 	0	   	 	                                         
A	10	170	ALLEGHENY PETROLEUM CO.       	999 AIR BRAKE AVE             	WILMERDING, PA 15148          	                              	                              	15148	0000	00000	118640.34	88726.89	29913.45	0.00	0.00	0.00	51980.40	112624	0.00	0.00	258983.25	Y	0.00	118640.34	N	0.00	140342.91	600000	412	8291990	54	3	    	ALLEGHENY 	  	0	170256.36	241106	0	PA	N	10	170	20241126	20241106	I	 	N	 	0	   	 	                                         
A	10	180	ALLEN OIL SALES               	1100 WEST LOCUST STREET       	YORK, PA 17404                	                              	                              	17404	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	44705.10	81423	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	50000	717	8439957	59	3	    	ALLEN OIL 	  	0	0.00	0	0	PA	Y	10	180	20230814	0	U	 	 	 	232307728	   	 	                                         
A	10	183	ALLENDORPH SPECIALTIES, INC.  	201 STANTON STREET            	BROUSSARD, LA  70518          	                              	                              	70518	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	6339.31	92724	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	20000	337	2320503	47	3	    	ALLEND    	CD	0	0.00	0	0	LA	N	10	183	20240927	0	I	 	 	 	721086886	   	 	                                         
A	10	187	TAMKO BUILDING PRODUCTS LLC   	PO BOX 1404                   	JOPLIN, MO  64802-1404        	                              	                              	64802	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-1050.38	30121	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	450000	800	6414691	29	3	    	TAM       	CD	0	0.00	0	0	MO	N	10	187	20210301	0	I	 	Y	 	440502367	   	 	                                         
A	10	190	AL MAC BROTHERS, INC.         	P.O. BOX 152                  	TEWKSBURY, MA 01876           	                              	                              	01876	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	2121.90	63000	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	800	8382855	26	14	    	AL MAC    	CD	0	0.00	0	0	MA	N	10	190	20000630	0	I	 	 	 	0	   	 	                                         
A	10	200	ALOX CORPORATION              	3943 BUFFALO AVENUE           	P.O. BOX 517                  	NIAGRA FALLS, NY 14302        	                              	14302	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	9498.75	43001	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	716	2821295	26	3	    	ALOX CO   	  	0	0.00	0	0	NY	N	10	200	20010430	0	I	 	 	 	0	   	 	                                         
A	10	205	AINSLEY OIL COMPANY           	440 S. MECCA STREET           	CORTLAND, OH  44410           	                              	                              	44410	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	17587.48	41521	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	50000	330	6378065	18	1	    	AINSLEY   	CD	0	0.00	0	0	OH	Y	10	205	20210415	0	F	 	 	 	341148185	   	 	                                         
A	10	208	AIRTRUST (S) PTE LTD          	229 MOUNTBATTEN ROAD          	MOUNTBATTEN SQUARE #02-24     	SINGAPORE  398007             	                              	39800	7   	00000	0.00	0.00	0.00	0.00	0.00	0.00	-14985.00	20409	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	25000	0	0	18	3	    	AIRTRUST  	CD	0	0.00	0	0	XX	N	10	208	20090204	0	I	 	 	 	0	   	 	                                         
A	10	210	AIR PRODUCTS & CHEMICALS INC. 	ATTN:  ACCOUNTS PAYABLE       	PO BOX 25706                  	LEHIGH VALLEY, PA  18002-5706 	                              	18002	5706	00000	0.00	0.00	0.00	0.00	0.00	0.00	2613.59	72213	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	610	4814911	18	9	    	AIR PRODUC	CD	0	0.00	0	0	PA	N	10	210	20130722	0	U	 	 	 	0	   	 	                                         
A	10	220	ALCOA MILL PRODUCTS, LANCASTER	P.O. BOX 1778                 	PITTSBURGH, PA  15230-1778    	                              	                              	15230	1778	00000	0.00	0.00	0.00	0.00	0.00	0.00	6740.20	110303	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	717	3939641	5	14	    	ALCOA     	  	0	0.00	0	0	PA	N	10	250	20031103	0	I	 	 	 	0	   	 	                                         
A	10	230	ALCOA                         	SANDOW MINE                   	P.O. BOX 1491                 	ROCKDALE, TX  76567           	                              	76567	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-2864.20	51412	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	6	3	    	ALCOA     	  	0	0.00	0	0	TX	N	10	250	20120514	0	I	 	 	 	0	   	 	                                         
A	10	238	NOV OIL AND GAS SERVICES SOUTH	AFRICA (PTY) LTD.             	P.O. BOX 1916                 	PORT ELIZABETH, SOUTH AFRICA  	6000                          	     	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-4154.84	120514	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	18	9	    	NOV AFRICA	CD	0	0.00	0	0	XX	N	10	238	20141205	0	I	 	 	 	0	   	 	                                         
A	10	240	ALCOA MILL PRODUCTS, INC.     	P.O. BOX 1778                 	PITTSBURGH, PA  15230         	                              	                              	15230	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-13110.52	71106	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	903	8328471	5	14	    	ALCOA     	  	0	0.00	0	0	TX	N	10	250	20060711	0	I	 	 	 	0	   	 	                                         
A	10	241	ALGOMA TUBES INC              	547 WALLACE TERRACE           	SAULT STE.MARIE, ONT.         	CANADA   P6C 1L9              	                              	P6C 1	LP  	00000	19388.16	19388.16	0.00	0.00	0.00	0.00	9694.08	112624	0.00	0.00	38776.32	Y	0.00	19388.16	N	0.00	29082.24	50000	705	7468130	47	3	    	ALGOMA TUB	CD	0	29082.24	241113	0	XX	N	10	241	20241126	20241113	I	 	 	 	0	   	 	                                         
A	10	245	ALUMINIO REYNOLDS             	SANTO DOMINGO S.A.            	CALLE 79 # 40-362 VIA 40      	BARRANQUILLA, COLOMBIA        	                              	00000	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-16991.01	31805	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	8	9	    	ALUMINIO  	  	0	0.00	0	0	XX	N	10	245	20050318	0	I	 	 	 	0	   	 	                                         
A	10	247	ALUMINIO NACIONAL S.A.-ALUMINA	CRA. 32 NO. 11-101            	URBANIZACION ACOPI/YUMBO      	SANTIAGO DE CALI              	COLUMBIA                      	00000	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	-434.37	30303	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	0	0	8	16	    	ALUMINA   	  	0	0.00	0	0	XX	N	10	247	20030303	0	I	 	 	 	0	   	 	                                         
A	10	250	ALUMINUM CO. OF AMERICA       	P.O. BOX 1790                 	PITTSBURGH, PA 15230-1790     	                              	                              	15230	1790	00000	0.00	0.00	0.00	0.00	0.00	0.00	9557.29	121100	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	100000	0	0	26	3	    	ALUMINUM  	  	0	0.00	0	0	PA	N	10	250	20001211	0	I	 	 	 	0	   	 	                                         
A	10	252	SKANA ALUMINUM COMPANY        	P.O. BOX 1477                 	MANITOWOC, WI  54221-1477     	                              	                              	54221	    	00000	29525.61	29525.61	0.00	0.00	0.00	0.00	29036.85	110424	0.00	29525.61	29525.61	Y	0.00	0.00	N	0.00	29036.85	30000	920	4820599	57	12	    	SKANA     	CD	0	29525.61	241203	0	WI	N	10	252	20241104	20241203	I	 	 	 	0	   	 	                                         
A	10	255	AMCOR PACKAGING COMPANY INC.  	24 LIVINGSTON AVENUE          	AVENEL, NJ  07001             	                              	                              	07001	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	9662.40	122208	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	25000	732	6340281	26	14	    	AMCOR PACK	CD	0	0.00	0	0	NJ	N	10	255	20081222	0	I	 	 	 	0	   	 	                                         
A	10	260	ENI USA R&M CO. INC.          	(FORMERLY AMERICAN AGIP)      	ATTN: ROSEANNE DEVINCENZO     	485 MADISON AVENUE            	NEW YORK, NY  10022           	10022	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	17602.44	20619	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	1000000	724	3524451	5	3	    	ENI USA   	  	0	0.00	0	0	NY	N	10	260	20190206	0	U	 	 	 	0	   	 	                                         
A	10	261	ENI USA R&M CO. INC.          	(FORMERLY AMERICAN AGIP)      	P.O. BOX 284                  	WESTBURY, NY  11590           	                              	11590	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	29310.68	111706	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	516	8760318	42	1	    	AMERICAN  	CD	0	0.00	0	0	NY	N	10	260	20061117	0	U	 	 	 	0	   	 	                                         
A	10	263	AMERICAN CANDLE CO, INC       	63 FOURTH AVENUE              	HASKELL, NJ 07420             	                              	                              	07420	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	7365.60	52200	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	973	8394545	9	3	    	AMERICAN  	  	0	0.00	0	0	NJ	N	10	263	20000522	0	I	 	 	 	0	   	 	                                         
A	10	265	AMERICAN LUBRICANTS           	619 BAILEY AVE                	BUFFALO, NY  14206            	                              	                              	14206	0000	00000	20955.82	20955.82	0.00	0.00	0.00	0.00	5173.45	30624	0.00	0.00	20955.82	Y	0.00	20955.82	N	0.00	0.00	5000	716	8278300	53	3	    	AMERIC    	RR	0	20955.82	241112	0	NY	N	10	520	20240306	20241112	R	 	 	 	0	   	 	                                         
A	10	266	AMERICAN CHEMICAL TECHNOLOGIES	485 EAST VAN RIPER ROAD       	FOWLERVILLE, MI  48836        	                              	                              	48836	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	15242.68	121115	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	610	6445733	18	3	    	AMERICAN C	CD	0	0.00	0	0	MI	N	10	266	20151211	0	I	 	 	 	0	   	 	                                         
A	10	267	AMERICAN LUBRICANTS&CHEMICALS,	 LLC                          	2395 GLENDALE ROAD            	MARIETTA, OH  45750           	                              	45750	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	11654.52	122018	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	200000	740	3749227	57	3	    	AMERICAN L	CD	0	0.00	0	0	OH	Y	10	267	20181220	0	I	 	Y	 	0	   	 	                                         
A	10	268	AMERICAN COLORS, INC.         	P.O. BOX 397                  	SANDUSKY, OH  44871           	                              	                              	44871	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	1768.00	112524	0.00	0.00	1768.00	Y	0.00	0.00	N	0.00	1768.00	25000	419	6214000	57	3	    	AMERICAN  	CD	0	1768.00	241023	0	OH	N	10	268	20241125	20241023	I	 	 	 	341165942	   	 	                                         
A	10	269	AMERICAN PETROLEUM            	4334 E WASHINGTON BLVD        	LOS ANGELES, CA  90023        	                              	                              	90023	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	323	2886677	11	3	    	AMERICAN  	  	0	0.00	0	0	CA	N	10	269	20000000	0	U	 	 	 	0	   	 	                                         
A	10	270	AMERICAN REFINING GROUP       	77 N. KENDALL AVENUE          	BRADFORD, PA  16701           	                              	                              	16701	0000	00000	0.00	0.00	0.00	0.00	0.00	0.00	2307.62	20314	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	9999999	800	3681341	49	14	    	AMERICAN  	  	0	0.00	0	0	PA	N	10	270	20140203	0	I	 	 	 	222318612	   	Y	                                         
A	10	273	AMERICAN LUBRICATING COMPANY  	P.O. BOX 258                  	MEMPHIS, TN  38101            	                              	                              	38101	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	22512.56	62608	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	25000	901	5274707	42	3	    	AMERICAN L	CD	0	0.00	0	0	TN	N	10	273	20080626	0	I	 	 	 	0	   	 	                                         
A	10	277	AMERICAN INDUSTRIAL SERVICES  	3812 W. GALVESTON ST.         	BROKEN ARROW, OK  74012       	                              	                              	74012	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-26.54	110116	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	918	2508975	18	9	    	AMERICAN I	CD	0	0.00	0	0	OK	N	10	277	20161101	0	I	 	 	 	0	   	 	                                         
A	10	278	AMERICAN SERVOIL CORP.        	29370 MCKINNON ROAD, SUITE C  	P.O. BOX 866                  	FULSHEAR, TX  77441           	                              	77441	    	00000	0.00	0.00	0.00	0.00	0.00	0.00	-2401.28	60112	0.00	0.00	0.00	Y	0.00	0.00	N	0.00	0.00	0	281	3461504	18	9	    	AMERIC    	CD	0	0.00	0	0	TX	N	10	278	20120601	0	I	 	 	 	0	   	 	                                         
